Belgium	coach	Roberto Martínez
Belgium	captain	Eden Hazard
Belgium	world cup appearance	13 (first in 1930)
Belgium	world cup Third place	2018
Belgium	goalkeeper	Thibaut Courtois
Belgium	has player	Thibaut Courtois
Thibaut Courtois	position	goalkeeper
Thibaut Courtois	goals	0
Thibaut Courtois	caps	81
Thibaut Courtois	age	28
Thibaut Courtois	jersey	1
Belgium	defender	Toby Alderweireld
Belgium	has player	Toby Alderweireld
Toby Alderweireld	position	defender
Toby Alderweireld	goals	5
Toby Alderweireld	caps	104
Toby Alderweireld	age	31
Toby Alderweireld	jersey	2
Belgium	defender	Jason Denayer
Belgium	has player	Jason Denayer
Jason Denayer	position	defender
Jason Denayer	goals	1
Jason Denayer	caps	20
Jason Denayer	age	25
Jason Denayer	jersey	3
Belgium	defender	Dedryck Boyata
Belgium	has player	Dedryck Boyata
Dedryck Boyata	position	defender
Dedryck Boyata	goals	0
Dedryck Boyata	caps	21
Dedryck Boyata	age	30
Dedryck Boyata	jersey	4
Belgium	defender	Jan Vertonghen
Belgium	has player	Jan Vertonghen
Jan Vertonghen	position	defender
Jan Vertonghen	goals	9
Jan Vertonghen	caps	123
Jan Vertonghen	age	33
Jan Vertonghen	jersey	5
Belgium	defender	Leander Dendoncker
Belgium	has player	Leander Dendoncker
Leander Dendoncker	position	defender
Leander Dendoncker	goals	0
Leander Dendoncker	caps	12
Leander Dendoncker	age	25
Leander Dendoncker	jersey	6
Belgium	midfielder	Kevin De Bruyne 
Belgium	has player	Kevin De Bruyne 
Kevin De Bruyne 	position	midfielder
Kevin De Bruyne 	goals	20
Kevin De Bruyne 	caps	78
Kevin De Bruyne 	age	29
Kevin De Bruyne 	jersey	7
Belgium	midfielder	Youri Tielemans
Belgium	has player	Youri Tielemans
Youri Tielemans	position	midfielder
Youri Tielemans	goals	4
Youri Tielemans	caps	34
Youri Tielemans	age	23
Youri Tielemans	jersey	8
Belgium	midfielder	Thorgan Hazard
Belgium	has player	Thorgan Hazard
Thorgan Hazard	position	midfielder
Thorgan Hazard	goals	4
Thorgan Hazard	caps	31
Thorgan Hazard	age	27
Thorgan Hazard	jersey	10
Belgium	midfielder	Hans Vanaken
Belgium	has player	Hans Vanaken
Hans Vanaken	position	midfielder
Hans Vanaken	goals	0
Hans Vanaken	caps	8
Hans Vanaken	age	28
Hans Vanaken	jersey	17
Belgium	midfielder	Dennis Praet
Belgium	has player	Dennis Praet
Dennis Praet	position	midfielder
Dennis Praet	goals	0
Dennis Praet	caps	9
Dennis Praet	age	26
Dennis Praet	jersey	19
Belgium	midfielder	Nacer Chadli
Belgium	has player	Nacer Chadli
Nacer Chadli	position	midfielder
Nacer Chadli	goals	8
Nacer Chadli	caps	61
Nacer Chadli	age	31
Nacer Chadli	jersey	22
Belgium	forward	Romelu Lukaku
Belgium	has player	Romelu Lukaku
Romelu Lukaku	position	forward
Romelu Lukaku	goals	57
Romelu Lukaku	caps	89
Romelu Lukaku	age	27
Romelu Lukaku	jersey	9
Belgium	forward	Dries Mertens
Belgium	has player	Dries Mertens
Dries Mertens	position	forward
Dries Mertens	goals	21
Dries Mertens	caps	94
Dries Mertens	age	33
Dries Mertens	jersey	14
Belgium	forward	Yari Verschaeren
Belgium	has player	Yari Verschaeren
Yari Verschaeren	position	forward
Yari Verschaeren	goals	1
Yari Verschaeren	caps	6
Yari Verschaeren	age	19
Yari Verschaeren	jersey	18
Belgium	forward	Christian Benteke
Belgium	has player	Christian Benteke
Christian Benteke	position	forward
Christian Benteke	goals	15
Christian Benteke	caps	38
Christian Benteke	age	30
Christian Benteke	jersey	20
Belgium	forward	Michy Batshuayi
Belgium	has player	Michy Batshuayi
Michy Batshuayi	position	forward
Michy Batshuayi	goals	21
Michy Batshuayi	caps	32
Michy Batshuayi	age	27
Michy Batshuayi	jersey	23
Belgium	forward	Jeremy Doku
Belgium	has player	Jeremy Doku
Jeremy Doku	position	forward
Jeremy Doku	goals	1
Jeremy Doku	caps	5
Jeremy Doku	age	18
Belgium	defender	Thomas Vermaelen
Belgium	has player	Thomas Vermaelen
Thomas Vermaelen	position	defender
Thomas Vermaelen	goals	2
Thomas Vermaelen	caps	78
Thomas Vermaelen	age	35
Belgium	midfielder	Axel Witsel
Belgium	has player	Axel Witsel
Axel Witsel	position	midfielder
Axel Witsel	goals	10
Axel Witsel	caps	110
Axel Witsel	age	31
Belgium	forward	Eden Hazard OTH 
Belgium	has player	Eden Hazard OTH 
Eden Hazard OTH 	position	forward
Eden Hazard OTH 	goals	32
Eden Hazard OTH 	caps	106
Eden Hazard OTH 	age	29
