Iceland	coach	vacant
Iceland	captain	Aron Gunnarsson
Iceland	world cup appearance	1 (first in 2018)
Iceland	world cup Group stage	2018
Iceland	goalkeeper	Hannes Thor Halldorsson
Iceland	has player	Hannes Thor Halldorsson
Hannes Thor Halldorsson	position	goalkeeper
Hannes Thor Halldorsson	goals	0
Hannes Thor Halldorsson	caps	74
Hannes Thor Halldorsson	age	36
Iceland	goalkeeper	Ogmundur Kristinsson
Iceland	has player	Ogmundur Kristinsson
Ogmundur Kristinsson	position	goalkeeper
Ogmundur Kristinsson	goals	0
Ogmundur Kristinsson	caps	17
Ogmundur Kristinsson	age	31
Iceland	goalkeeper	Runar Alex Runarsson
Iceland	has player	Runar Alex Runarsson
Runar Alex Runarsson	position	goalkeeper
Runar Alex Runarsson	goals	0
Runar Alex Runarsson	caps	7
Runar Alex Runarsson	age	25
Iceland	defender	Birkir Mar Saevarsson
Iceland	has player	Birkir Mar Saevarsson
Birkir Mar Saevarsson	position	defender
Birkir Mar Saevarsson	goals	2
Birkir Mar Saevarsson	caps	95
Birkir Mar Saevarsson	age	36
Iceland	defender	Kari Arnason
Iceland	has player	Kari Arnason
Kari Arnason	position	defender
Kari Arnason	goals	6
Kari Arnason	caps	87
Kari Arnason	age	38
Iceland	defender	Ari Freyr Skulason
Iceland	has player	Ari Freyr Skulason
Ari Freyr Skulason	position	defender
Ari Freyr Skulason	goals	0
Ari Freyr Skulason	caps	77
Ari Freyr Skulason	age	33
Iceland	defender	Sverrir Ingi Ingason
Iceland	has player	Sverrir Ingi Ingason
Sverrir Ingi Ingason	position	defender
Sverrir Ingi Ingason	goals	3
Sverrir Ingi Ingason	caps	36
Sverrir Ingi Ingason	age	27
Iceland	defender	Holmar Orn Eyjolfsson
Iceland	has player	Holmar Orn Eyjolfsson
Holmar Orn Eyjolfsson	position	defender
Holmar Orn Eyjolfsson	goals	2
Holmar Orn Eyjolfsson	caps	19
Holmar Orn Eyjolfsson	age	30
Iceland	defender	Hjortur Hermannsson
Iceland	has player	Hjortur Hermannsson
Hjortur Hermannsson	position	defender
Hjortur Hermannsson	goals	1
Hjortur Hermannsson	caps	18
Hjortur Hermannsson	age	25
Iceland	midfielder	Birkir Bjarnason
Iceland	has player	Birkir Bjarnason
Birkir Bjarnason	position	midfielder
Birkir Bjarnason	goals	13
Birkir Bjarnason	caps	92
Birkir Bjarnason	age	32
Iceland	midfielder	Runar Mar Sigurjonsson
Iceland	has player	Runar Mar Sigurjonsson
Runar Mar Sigurjonsson	position	midfielder
Runar Mar Sigurjonsson	goals	1
Runar Mar Sigurjonsson	caps	30
Runar Mar Sigurjonsson	age	30
Iceland	midfielder	Victor Palsson
Iceland	has player	Victor Palsson
Victor Palsson	position	midfielder
Victor Palsson	goals	0
Victor Palsson	caps	23
Victor Palsson	age	29
Iceland	midfielder	Arnor Sigurdsson
Iceland	has player	Arnor Sigurdsson
Arnor Sigurdsson	position	midfielder
Arnor Sigurdsson	goals	1
Arnor Sigurdsson	caps	11
Arnor Sigurdsson	age	21
Iceland	midfielder	Jon Dagur Thorsteinsson
Iceland	has player	Jon Dagur Thorsteinsson
Jon Dagur Thorsteinsson	position	midfielder
Jon Dagur Thorsteinsson	goals	1
Jon Dagur Thorsteinsson	caps	6
Jon Dagur Thorsteinsson	age	22
Iceland	forward	Kolbeinn Sigthorsson
Iceland	has player	Kolbeinn Sigthorsson
Kolbeinn Sigthorsson	position	forward
Kolbeinn Sigthorsson	goals	26
Kolbeinn Sigthorsson	caps	60
Kolbeinn Sigthorsson	age	30
Iceland	forward	Jon Dadi Bodvarsson
Iceland	has player	Jon Dadi Bodvarsson
Jon Dadi Bodvarsson	position	forward
Jon Dadi Bodvarsson	goals	3
Jon Dadi Bodvarsson	caps	55
Jon Dadi Bodvarsson	age	28
Iceland	forward	Albert Gudmundsson
Iceland	has player	Albert Gudmundsson
Albert Gudmundsson	position	forward
Albert Gudmundsson	goals	3
Albert Gudmundsson	caps	18
Albert Gudmundsson	age	23
Iceland	defender	Ragnar Sigurdsson
Iceland	has player	Ragnar Sigurdsson
Ragnar Sigurdsson	position	defender
Ragnar Sigurdsson	goals	5
Ragnar Sigurdsson	caps	97
Ragnar Sigurdsson	age	34
Iceland	midfielder	Aron Gunnarsson 
Iceland	has player	Aron Gunnarsson 
Aron Gunnarsson 	position	midfielder
Aron Gunnarsson 	goals	2
Aron Gunnarsson 	caps	91
Aron Gunnarsson 	age	31
Iceland	midfielder	Gylfi Sigurdsson
Iceland	has player	Gylfi Sigurdsson
Gylfi Sigurdsson	position	midfielder
Gylfi Sigurdsson	goals	25
Gylfi Sigurdsson	caps	78
Gylfi Sigurdsson	age	31
Iceland	midfielder	Johann Berg Gudmundsson
Iceland	has player	Johann Berg Gudmundsson
Johann Berg Gudmundsson	position	midfielder
Johann Berg Gudmundsson	goals	7
Johann Berg Gudmundsson	caps	77
Johann Berg Gudmundsson	age	30
Iceland	midfielder	Emil Hallfredsson
Iceland	has player	Emil Hallfredsson
Emil Hallfredsson	position	midfielder
Emil Hallfredsson	goals	1
Emil Hallfredsson	caps	73
Emil Hallfredsson	age	36
Iceland	forward	Alfred Finnbogason
Iceland	has player	Alfred Finnbogason
Alfred Finnbogason	position	forward
Alfred Finnbogason	goals	15
Alfred Finnbogason	caps	61
Alfred Finnbogason	age	31
