Italy	coach	Roberto Mancini
Italy	captain	Giorgio Chiellini
Italy	world cup appearance	18 (first in 1934)
Italy	world cup Champions	1934
Italy	world cup Champions	 1938
Italy	world cup Champions	 1982
Italy	world cup Champions	 2006
Italy	goalkeeper	Salvatore Sirigu
Italy	has player	Salvatore Sirigu
Salvatore Sirigu	position	goalkeeper
Salvatore Sirigu	goals	0
Salvatore Sirigu	caps	26
Salvatore Sirigu	age	33
Salvatore Sirigu	jersey	1
Italy	goalkeeper	Gianluigi Donnarumma
Italy	has player	Gianluigi Donnarumma
Gianluigi Donnarumma	position	goalkeeper
Gianluigi Donnarumma	goals	0
Gianluigi Donnarumma	caps	22
Gianluigi Donnarumma	age	21
Gianluigi Donnarumma	jersey	21
Italy	defender	Danilo D'Ambrosio
Italy	has player	Danilo D'Ambrosio
Danilo D'Ambrosio	position	defender
Danilo D'Ambrosio	goals	0
Danilo D'Ambrosio	caps	6
Danilo D'Ambrosio	age	32
Italy	defender	Emerson
Italy	has player	Emerson
Emerson	position	defender
Emerson	goals	0
Emerson	caps	12
Emerson	age	26
Emerson	jersey	3
Italy	defender	Giovanni Di Lorenzo
Italy	has player	Giovanni Di Lorenzo
Giovanni Di Lorenzo	position	defender
Giovanni Di Lorenzo	goals	0
Giovanni Di Lorenzo	caps	5
Giovanni Di Lorenzo	age	27
Giovanni Di Lorenzo	jersey	23
Italy	defender	Alessandro Florenzi
Italy	has player	Alessandro Florenzi
Alessandro Florenzi	position	defender
Alessandro Florenzi	goals	2
Alessandro Florenzi	caps	40
Alessandro Florenzi	age	29
Alessandro Florenzi	jersey	16
Italy	defender	Alessio Romagnoli
Italy	has player	Alessio Romagnoli
Alessio Romagnoli	position	defender
Alessio Romagnoli	goals	2
Alessio Romagnoli	caps	12
Alessio Romagnoli	age	25
Alessio Romagnoli	jersey	6
Italy	defender	Francesco Acerbi
Italy	has player	Francesco Acerbi
Francesco Acerbi	position	defender
Francesco Acerbi	goals	1
Francesco Acerbi	caps	11
Francesco Acerbi	age	32
Francesco Acerbi	jersey	15
Italy	midfielder	Manuel Locatelli
Italy	has player	Manuel Locatelli
Manuel Locatelli	position	midfielder
Manuel Locatelli	goals	0
Manuel Locatelli	caps	6
Manuel Locatelli	age	22
Manuel Locatelli	jersey	5
Italy	midfielder	Jorginho
Italy	has player	Jorginho
Jorginho	position	midfielder
Jorginho	goals	5
Jorginho	caps	27
Jorginho	age	28
Jorginho	jersey	8
Italy	midfielder	Roberto Soriano
Italy	has player	Roberto Soriano
Roberto Soriano	position	midfielder
Roberto Soriano	goals	0
Roberto Soriano	caps	9
Roberto Soriano	age	29
Roberto Soriano	jersey	14
Italy	midfielder	Nicolo Barella
Italy	has player	Nicolo Barella
Nicolo Barella	position	midfielder
Nicolo Barella	goals	4
Nicolo Barella	caps	18
Nicolo Barella	age	23
Nicolo Barella	jersey	18
Italy	forward	Kevin Lasagna
Italy	has player	Kevin Lasagna
Kevin Lasagna	position	forward
Kevin Lasagna	goals	0
Kevin Lasagna	caps	7
Kevin Lasagna	age	28
Italy	forward	Federico Bernardeschi
Italy	has player	Federico Bernardeschi
Federico Bernardeschi	position	forward
Federico Bernardeschi	goals	5
Federico Bernardeschi	caps	27
Federico Bernardeschi	age	26
Federico Bernardeschi	jersey	20
Italy	forward	Stephan El Shaarawy
Italy	has player	Stephan El Shaarawy
Stephan El Shaarawy	position	forward
Stephan El Shaarawy	goals	6
Stephan El Shaarawy	caps	28
Stephan El Shaarawy	age	28
Stephan El Shaarawy	jersey	22
Italy	forward	Lorenzo Insigne
Italy	has player	Lorenzo Insigne
Lorenzo Insigne	position	forward
Lorenzo Insigne	goals	7
Lorenzo Insigne	caps	38
Lorenzo Insigne	age	29
Lorenzo Insigne	jersey	10
Italy	forward	Andrea Belotti
Italy	has player	Andrea Belotti
Andrea Belotti	position	forward
Andrea Belotti	goals	10
Andrea Belotti	caps	31
Andrea Belotti	age	26
Andrea Belotti	jersey	9
Italy	forward	Federico Chiesa
Italy	has player	Federico Chiesa
Federico Chiesa	position	forward
Federico Chiesa	goals	1
Federico Chiesa	caps	21
Federico Chiesa	age	23
Italy	forward	Domenico Berardi
Italy	has player	Domenico Berardi
Domenico Berardi	position	forward
Domenico Berardi	goals	3
Domenico Berardi	caps	9
Domenico Berardi	age	26
Domenico Berardi	jersey	11
Italy	forward	Stefano Okaka
Italy	has player	Stefano Okaka
Stefano Okaka	position	forward
Stefano Okaka	goals	1
Stefano Okaka	caps	5
Stefano Okaka	age	31
Stefano Okaka	jersey	7
Italy	defender	Leonardo Bonucci
Italy	has player	Leonardo Bonucci
Leonardo Bonucci	position	defender
Leonardo Bonucci	goals	7
Leonardo Bonucci	caps	99
Leonardo Bonucci	age	33
Italy	defender	Giorgio Chiellini 
Italy	has player	Giorgio Chiellini 
Giorgio Chiellini 	position	defender
Giorgio Chiellini 	goals	8
Giorgio Chiellini 	caps	105
Giorgio Chiellini 	age	36
