Mexico	coach	Gerardo Martino
Mexico	captain	Andrés Guardado
Mexico	world cup appearance	16 (first in 1930)
Mexico	world cup Quarter-finals	1970
Mexico	world cup Quarter-finals	 1986
Mexico	goalkeeper	Hugo Gonzalez
Mexico	has player	Hugo Gonzalez
Hugo Gonzalez	position	goalkeeper
Hugo Gonzalez	goals	0
Hugo Gonzalez	caps	5
Hugo Gonzalez	age	30
Hugo Gonzalez	jersey	12
Mexico	goalkeeper	Guillermo Ochoa
Mexico	has player	Guillermo Ochoa
Guillermo Ochoa	position	goalkeeper
Guillermo Ochoa	goals	0
Guillermo Ochoa	caps	110
Guillermo Ochoa	age	35
Guillermo Ochoa	jersey	13
Mexico	defender	Nestor Araujo
Mexico	has player	Nestor Araujo
Nestor Araujo	position	defender
Nestor Araujo	goals	3
Nestor Araujo	caps	41
Nestor Araujo	age	29
Nestor Araujo	jersey	2
Mexico	defender	Carlos Salcedo
Mexico	has player	Carlos Salcedo
Carlos Salcedo	position	defender
Carlos Salcedo	goals	1
Carlos Salcedo	caps	37
Carlos Salcedo	age	27
Carlos Salcedo	jersey	3
Mexico	defender	Hector Moreno
Mexico	has player	Hector Moreno
Hector Moreno	position	defender
Hector Moreno	goals	4
Hector Moreno	caps	108
Hector Moreno	age	32
Hector Moreno	jersey	15
Mexico	defender	Luis Rodriguez
Mexico	has player	Luis Rodriguez
Luis Rodriguez	position	defender
Luis Rodriguez	goals	1
Luis Rodriguez	caps	22
Luis Rodriguez	age	29
Luis Rodriguez	jersey	21
Mexico	defender	Jesus Gallardo
Mexico	has player	Jesus Gallardo
Jesus Gallardo	position	defender
Jesus Gallardo	goals	0
Jesus Gallardo	caps	49
Jesus Gallardo	age	26
Jesus Gallardo	jersey	23
Mexico	defender	Jorge Sanchez
Mexico	has player	Jorge Sanchez
Jorge Sanchez	position	defender
Jorge Sanchez	goals	0
Jorge Sanchez	caps	10
Jorge Sanchez	age	22
Jorge Sanchez	jersey	25
Mexico	midfielder	Edson Alvarez
Mexico	has player	Edson Alvarez
Edson Alvarez	position	midfielder
Edson Alvarez	goals	2
Edson Alvarez	caps	34
Edson Alvarez	age	23
Edson Alvarez	jersey	4
Mexico	midfielder	Jonathan dos Santos
Mexico	has player	Jonathan dos Santos
Jonathan dos Santos	position	midfielder
Jonathan dos Santos	goals	3
Jonathan dos Santos	caps	49
Jonathan dos Santos	age	30
Jonathan dos Santos	jersey	6
Mexico	midfielder	Diego Lainez
Mexico	has player	Diego Lainez
Diego Lainez	position	midfielder
Diego Lainez	goals	1
Diego Lainez	caps	7
Diego Lainez	age	20
Diego Lainez	jersey	7
Mexico	midfielder	Carlos Rodriguez
Mexico	has player	Carlos Rodriguez
Carlos Rodriguez	position	midfielder
Carlos Rodriguez	goals	0
Carlos Rodriguez	caps	16
Carlos Rodriguez	age	23
Carlos Rodriguez	jersey	8
Mexico	midfielder	Roberto Alvarado
Mexico	has player	Roberto Alvarado
Roberto Alvarado	position	midfielder
Roberto Alvarado	goals	3
Roberto Alvarado	caps	20
Roberto Alvarado	age	22
Roberto Alvarado	jersey	10
Mexico	midfielder	Uriel Antuna
Mexico	has player	Uriel Antuna
Uriel Antuna	position	midfielder
Uriel Antuna	goals	8
Uriel Antuna	caps	16
Uriel Antuna	age	23
Uriel Antuna	jersey	11
Mexico	midfielder	Sebastian Cordova
Mexico	has player	Sebastian Cordova
Sebastian Cordova	position	midfielder
Sebastian Cordova	goals	2
Sebastian Cordova	caps	6
Sebastian Cordova	age	23
Sebastian Cordova	jersey	14
Mexico	midfielder	Orbelin Pineda
Mexico	has player	Orbelin Pineda
Orbelin Pineda	position	midfielder
Orbelin Pineda	goals	2
Orbelin Pineda	caps	25
Orbelin Pineda	age	24
Orbelin Pineda	jersey	18
Mexico	midfielder	Rodolfo Pizarro
Mexico	has player	Rodolfo Pizarro
Rodolfo Pizarro	position	midfielder
Rodolfo Pizarro	goals	5
Rodolfo Pizarro	caps	29
Rodolfo Pizarro	age	26
Rodolfo Pizarro	jersey	20
Mexico	midfielder	Luis Romo
Mexico	has player	Luis Romo
Luis Romo	position	midfielder
Luis Romo	goals	0
Luis Romo	caps	5
Luis Romo	age	25
Luis Romo	jersey	24
Mexico	forward	Raul Jimenez
Mexico	has player	Raul Jimenez
Raul Jimenez	position	forward
Raul Jimenez	goals	27
Raul Jimenez	caps	86
Raul Jimenez	age	29
Raul Jimenez	jersey	9
Mexico	forward	Jesus Manuel Corona
Mexico	has player	Jesus Manuel Corona
Jesus Manuel Corona	position	forward
Jesus Manuel Corona	goals	8
Jesus Manuel Corona	caps	45
Jesus Manuel Corona	age	27
Jesus Manuel Corona	jersey	17
Mexico	forward	Hirving Lozano
Mexico	has player	Hirving Lozano
Hirving Lozano	position	forward
Hirving Lozano	goals	11
Hirving Lozano	caps	41
Hirving Lozano	age	25
Hirving Lozano	jersey	22
Mexico	forward	Henry Martin
Mexico	has player	Henry Martin
Henry Martin	position	forward
Henry Martin	goals	2
Henry Martin	caps	8
Henry Martin	age	28
Henry Martin	jersey	26
Mexico	defender	Miguel Layun
Mexico	has player	Miguel Layun
Miguel Layun	position	defender
Miguel Layun	goals	6
Miguel Layun	caps	72
Miguel Layun	age	32
