Nigeria	coach	Gernot Rohr
Nigeria	captain	Ahmed Musa
Nigeria	world cup appearance	6 (first in 1994)
Nigeria	world cup Round of 16	1994
Nigeria	world cup Round of 16	 1998
Nigeria	world cup Round of 16	 2014
Nigeria	goalkeeper	Daniel Akpeyi
Nigeria	has player	Daniel Akpeyi
Daniel Akpeyi	position	goalkeeper
Daniel Akpeyi	goals	0
Daniel Akpeyi	caps	20
Daniel Akpeyi	age	34
Daniel Akpeyi	jersey	16
Nigeria	defender	William Troost-Ekong
Nigeria	has player	William Troost-Ekong
William Troost-Ekong	position	defender
William Troost-Ekong	goals	2
William Troost-Ekong	caps	45
William Troost-Ekong	age	27
William Troost-Ekong	jersey	5
Nigeria	defender	Leon Balogun
Nigeria	has player	Leon Balogun
Leon Balogun	position	defender
Leon Balogun	goals	0
Leon Balogun	caps	36
Leon Balogun	age	32
Leon Balogun	jersey	6
Nigeria	defender	Chidozie Awaziem
Nigeria	has player	Chidozie Awaziem
Chidozie Awaziem	position	defender
Chidozie Awaziem	goals	1
Chidozie Awaziem	caps	19
Chidozie Awaziem	age	23
Chidozie Awaziem	jersey	20
Nigeria	defender	Ola Aina
Nigeria	has player	Ola Aina
Ola Aina	position	defender
Ola Aina	goals	0
Ola Aina	caps	18
Ola Aina	age	24
Ola Aina	jersey	2
Nigeria	defender	Jamilu Collins
Nigeria	has player	Jamilu Collins
Jamilu Collins	position	defender
Jamilu Collins	goals	0
Jamilu Collins	caps	16
Jamilu Collins	age	26
Jamilu Collins	jersey	3
Nigeria	defender	Semi Ajayi
Nigeria	has player	Semi Ajayi
Semi Ajayi	position	defender
Semi Ajayi	goals	0
Semi Ajayi	caps	15
Semi Ajayi	age	27
Semi Ajayi	jersey	13
Nigeria	defender	Tyronne Ebuehi
Nigeria	has player	Tyronne Ebuehi
Tyronne Ebuehi	position	defender
Tyronne Ebuehi	goals	0
Tyronne Ebuehi	caps	8
Tyronne Ebuehi	age	24
Tyronne Ebuehi	jersey	21
Nigeria	midfielder	Alex Iwobi
Nigeria	has player	Alex Iwobi
Alex Iwobi	position	midfielder
Alex Iwobi	goals	9
Alex Iwobi	caps	44
Alex Iwobi	age	24
Alex Iwobi	jersey	18
Nigeria	midfielder	Peter Etebo
Nigeria	has player	Peter Etebo
Peter Etebo	position	midfielder
Peter Etebo	goals	1
Peter Etebo	caps	37
Peter Etebo	age	25
Peter Etebo	jersey	8
Nigeria	midfielder	Samuel Chukwueze
Nigeria	has player	Samuel Chukwueze
Samuel Chukwueze	position	midfielder
Samuel Chukwueze	goals	3
Samuel Chukwueze	caps	17
Samuel Chukwueze	age	21
Samuel Chukwueze	jersey	11
Nigeria	midfielder	Joe Aribo
Nigeria	has player	Joe Aribo
Joe Aribo	position	midfielder
Joe Aribo	goals	2
Joe Aribo	caps	6
Joe Aribo	age	24
Joe Aribo	jersey	10
Nigeria	forward	Ahmed Musa
Nigeria	has player	Ahmed Musa
Ahmed Musa	position	forward
Ahmed Musa	goals	15
Ahmed Musa	caps	95
Ahmed Musa	age	28
Ahmed Musa	jersey	7
Nigeria	forward	Kelechi Iheanacho
Nigeria	has player	Kelechi Iheanacho
Kelechi Iheanacho	position	forward
Kelechi Iheanacho	goals	9
Kelechi Iheanacho	caps	29
Kelechi Iheanacho	age	24
Kelechi Iheanacho	jersey	14
Nigeria	forward	Victor Osimhen
Nigeria	has player	Victor Osimhen
Victor Osimhen	position	forward
Victor Osimhen	goals	5
Victor Osimhen	caps	10
Victor Osimhen	age	21
Victor Osimhen	jersey	9
Nigeria	forward	Paul Onuachu
Nigeria	has player	Paul Onuachu
Paul Onuachu	position	forward
Paul Onuachu	goals	1
Paul Onuachu	caps	8
Paul Onuachu	age	26
Paul Onuachu	jersey	19
Nigeria	defender	Kenneth Omeruo
Nigeria	has player	Kenneth Omeruo
Kenneth Omeruo	position	defender
Kenneth Omeruo	goals	1
Kenneth Omeruo	caps	53
Kenneth Omeruo	age	27
