Sweden	coach	Janne Andersson
Sweden	captain	Andreas Granqvist
Sweden	world cup appearance	12 (first in 1934)
Sweden	world cup Runners-up	1958
Sweden	goalkeeper	Robin Olsen
Sweden	has player	Robin Olsen
Robin Olsen	position	goalkeeper
Robin Olsen	goals	0
Robin Olsen	caps	42
Robin Olsen	age	30
Robin Olsen	jersey	1
Sweden	goalkeeper	Karl-Johan Johnsson
Sweden	has player	Karl-Johan Johnsson
Karl-Johan Johnsson	position	goalkeeper
Karl-Johan Johnsson	goals	0
Karl-Johan Johnsson	caps	8
Karl-Johan Johnsson	age	30
Karl-Johan Johnsson	jersey	12
Sweden	goalkeeper	Kristoffer Nordfeldt
Sweden	has player	Kristoffer Nordfeldt
Kristoffer Nordfeldt	position	goalkeeper
Kristoffer Nordfeldt	goals	0
Kristoffer Nordfeldt	caps	12
Kristoffer Nordfeldt	age	31
Kristoffer Nordfeldt	jersey	23
Sweden	defender	Mikael Lustig
Sweden	has player	Mikael Lustig
Mikael Lustig	position	defender
Mikael Lustig	goals	6
Mikael Lustig	caps	87
Mikael Lustig	age	33
Mikael Lustig	jersey	2
Sweden	defender	Victor Lindelof
Sweden	has player	Victor Lindelof
Victor Lindelof	position	defender
Victor Lindelof	goals	3
Victor Lindelof	caps	38
Victor Lindelof	age	26
Victor Lindelof	jersey	3
Sweden	defender	Marcus Danielson
Sweden	has player	Marcus Danielson
Marcus Danielson	position	defender
Marcus Danielson	goals	2
Marcus Danielson	caps	7
Marcus Danielson	age	31
Marcus Danielson	jersey	4
Sweden	defender	Pierre Bengtsson
Sweden	has player	Pierre Bengtsson
Pierre Bengtsson	position	defender
Pierre Bengtsson	goals	0
Pierre Bengtsson	caps	34
Pierre Bengtsson	age	32
Pierre Bengtsson	jersey	5
Sweden	defender	Martin Olsson
Sweden	has player	Martin Olsson
Martin Olsson	position	defender
Martin Olsson	goals	5
Martin Olsson	caps	51
Martin Olsson	age	32
Martin Olsson	jersey	6
Sweden	defender	Filip Helander
Sweden	has player	Filip Helander
Filip Helander	position	defender
Filip Helander	goals	0
Filip Helander	caps	13
Filip Helander	age	27
Filip Helander	jersey	14
Sweden	defender	Emil Krafth
Sweden	has player	Emil Krafth
Emil Krafth	position	defender
Emil Krafth	goals	0
Emil Krafth	caps	24
Emil Krafth	age	26
Emil Krafth	jersey	16
Sweden	defender	Mattias Johansson
Sweden	has player	Mattias Johansson
Mattias Johansson	position	defender
Mattias Johansson	goals	1
Mattias Johansson	caps	6
Mattias Johansson	age	28
Mattias Johansson	jersey	24
Sweden	defender	Sebastian Holmen
Sweden	has player	Sebastian Holmen
Sebastian Holmen	position	defender
Sebastian Holmen	goals	0
Sebastian Holmen	caps	6
Sebastian Holmen	age	28
Sebastian Holmen	jersey	25
Sweden	midfielder	Sebastian Larsson
Sweden	has player	Sebastian Larsson
Sebastian Larsson	position	midfielder
Sebastian Larsson	goals	8
Sebastian Larsson	caps	125
Sebastian Larsson	age	35
Sebastian Larsson	jersey	7
Sweden	midfielder	Emil Forsberg
Sweden	has player	Emil Forsberg
Emil Forsberg	position	midfielder
Emil Forsberg	goals	8
Emil Forsberg	caps	54
Emil Forsberg	age	29
Emil Forsberg	jersey	10
Sweden	midfielder	Gustav Svensson
Sweden	has player	Gustav Svensson
Gustav Svensson	position	midfielder
Gustav Svensson	goals	0
Gustav Svensson	caps	30
Gustav Svensson	age	33
Gustav Svensson	jersey	13
Sweden	midfielder	Dejan Kulusevski
Sweden	has player	Dejan Kulusevski
Dejan Kulusevski	position	midfielder
Dejan Kulusevski	goals	1
Dejan Kulusevski	caps	8
Dejan Kulusevski	age	20
Dejan Kulusevski	jersey	15
Sweden	midfielder	Viktor Claesson
Sweden	has player	Viktor Claesson
Viktor Claesson	position	midfielder
Viktor Claesson	goals	8
Viktor Claesson	caps	42
Viktor Claesson	age	28
Viktor Claesson	jersey	17
Sweden	midfielder	Kristoffer Olsson
Sweden	has player	Kristoffer Olsson
Kristoffer Olsson	position	midfielder
Kristoffer Olsson	goals	0
Kristoffer Olsson	caps	22
Kristoffer Olsson	age	25
Kristoffer Olsson	jersey	20
Sweden	midfielder	Ken Sema
Sweden	has player	Ken Sema
Ken Sema	position	midfielder
Ken Sema	goals	0
Ken Sema	caps	9
Ken Sema	age	27
Ken Sema	jersey	21
Sweden	forward	Jordan Larsson
Sweden	has player	Jordan Larsson
Jordan Larsson	position	forward
Jordan Larsson	goals	1
Jordan Larsson	caps	5
Jordan Larsson	age	23
Jordan Larsson	jersey	8
Sweden	forward	Marcus Berg 
Sweden	has player	Marcus Berg 
Marcus Berg 	position	forward
Marcus Berg 	goals	22
Marcus Berg 	caps	82
Marcus Berg 	age	34
Marcus Berg 	jersey	9
Sweden	forward	Alexander Isak
Sweden	has player	Alexander Isak
Alexander Isak	position	forward
Alexander Isak	goals	5
Alexander Isak	caps	18
Alexander Isak	age	21
Alexander Isak	jersey	11
Sweden	forward	Robin Quaison
Sweden	has player	Robin Quaison
Robin Quaison	position	forward
Robin Quaison	goals	8
Robin Quaison	caps	21
Robin Quaison	age	27
Robin Quaison	jersey	22
Sweden	midfielder	Albin Ekdal
Sweden	has player	Albin Ekdal
Albin Ekdal	position	midfielder
Albin Ekdal	goals	0
Albin Ekdal	caps	55
Albin Ekdal	age	31
